               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.01891,           0.0051913,                   0,              0.8925,             0.84489,              0.8866,             0.44766,            0.037056,           0.0064738,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.019979,           0.0053704,                   0,             0.89811,             0.85841,             0.89264,             0.44635,            0.036898,           0.0065014,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019783,            0.005621,                   0,             0.87214,             0.84509,             0.88319,             0.43833,            0.036747,           0.0065056,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019449,           0.0052465,                   0,             0.89396,             0.85841,             0.89863,             0.44074,            0.036751,           0.0065652,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.018847,           0.0053569,                   0,              0.9088,             0.85398,             0.90761,             0.44118,            0.036497,           0.0064925,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.019713,           0.0052715,                   0,              0.8995,             0.83165,              0.8826,             0.43973,            0.036644,           0.0065443,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.018848,           0.0051017,                   0,             0.89903,             0.82739,             0.88024,             0.44671,            0.036919,           0.0065482,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.019393,           0.0051409,                   0,             0.89854,             0.82295,             0.88583,             0.44113,            0.037032,           0.0066778,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.018361,           0.0049387,                   0,             0.88302,             0.83628,              0.8886,             0.44494,            0.036884,           0.0067173,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.018732,           0.0051604,                   0,             0.89994,             0.83628,             0.89092,             0.44659,             0.03672,           0.0066393,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.019338,           0.0050948,                   0,             0.90093,             0.84504,             0.89089,             0.44579,            0.036447,           0.0066381,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.018483,           0.0050618,                   0,             0.91255,             0.83186,             0.89636,             0.44674,            0.036731,           0.0067072,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,             0.01842,           0.0048508,                   0,              0.9082,             0.83175,             0.89327,             0.44173,            0.037283,           0.0068224,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.018985,           0.0052869,                   0,             0.90046,             0.84071,             0.88674,             0.44132,            0.036532,            0.006771,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.018428,           0.0051064,                   0,             0.89249,             0.84956,             0.88277,             0.44247,            0.036455,           0.0067245,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,             0.01822,           0.0048598,                   0,             0.90566,             0.84955,             0.88966,             0.44967,            0.036491,           0.0066957,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.017991,           0.0050843,                   0,              0.9052,               0.845,             0.88148,             0.44432,            0.036669,           0.0066785,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.018449,           0.0049511,                   0,             0.89772,             0.85841,             0.89301,             0.43936,            0.037064,           0.0067191,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.018077,           0.0053043,                   0,             0.88889,             0.84955,             0.88737,             0.44139,             0.03702,           0.0067881,                   0,           0.0010089,           0.0010089,           0.0010089
